node1_name,node2_name,endpoint1,endpoint2,bold,highlighted,properties,probability
churn,file2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.935108153078203
churn,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.780366056572379
churn,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,1
churn,code_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.469217970049917
churn,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.296173044925125
churn,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.970049916805324
churn2,code_dev2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.995008319467554
code_dev,churn,TAIL,ARROW,FALSE,FALSE,pd;pl,0.209650582362729
code_dev,churn2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.945091514143095
code_dev,code_dev2,TAIL,ARROW,FALSE,FALSE,pd;pl,1
code_dev,commit,TAIL,ARROW,FALSE,FALSE,pd;pl,0.708818635607321
