node1_name,node2_name,endpoint1,endpoint2,bold,highlighted,properties,probability,no_edge
mail_dev,mis_link2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.763727121464226,0.236272878535774
code_dev,file2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.86522462562396,0.13477537437604
code_dev,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.697171381031614,0.302828618968386
code_dev,mail_dev,TAIL,ARROW,FALSE,FALSE,dd;pl,0.881863560732113,0.118136439267887
code_dev,mis_link,TAIL,ARROW,FALSE,FALSE,pd;pl,1,0
code_dev,mis_link2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.579034941763727,0.420965058236273
code_dev,start,TAIL,ARROW,FALSE,FALSE,pd;pl,0.579034941763727,0.420965058236273
code_dev,thread,TAIL,ARROW,FALSE,FALSE,pd;pl,0.319467554076539,0.680532445923461
code_dev,thread2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.499168053244592,0.500831946755408
code_dev2,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.965058236272879,0.0349417637271214
commit,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.400998336106489,0.599001663893511
commit,code_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.998336106489185,0.00166389351081531
commit,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
commit,file,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
commit,file2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.32279534109817,0.67720465890183
commit,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.968386023294509,0.0316139767054908
commit,mis_link,TAIL,ARROW,FALSE,FALSE,dd;nl,0.983361064891847,0.0166389351081531
commit,silence2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.372712146422629,0.627287853577371
commit,start,TAIL,ARROW,FALSE,FALSE,pd;nl,0.94342762063228,0.0565723793677204
commit2,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
commit,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.362728785357737,0.637271214642263
code_dev2,mail_dev2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.384359400998336,0.615640599001664
code_dev2,silence2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.479201331114809,0.520798668885191
code_dev,commit2,TAIL,ARROW,FALSE,FALSE,pd;pl,1,0
churn,silence2,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
churn,mis_link2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.502495840266223,0.497504159733777
churn,file2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.935108153078203,0.0648918469217971
churn,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.780366056572379,0.219633943427621
churn,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
churn,code_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.469217970049917,0.530782029950083
churn,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.296173044925125,0.703826955074875
churn,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.970049916805324,0.0299500831946755
