node1_name,node2_name,edge_type,properties,probability
code_dev,b_173731,ta,dd;nl,0.00199600798403194
code_dev,b_180732,nil,,0.962075848303393
code_dev,b_180732,ta,dd;nl,0.0179640718562874
code_dev,b_180732,tt,,0.0139720558882236
code_dev,b_180732,at,dd;pl,0.00598802395209581
code_dev,b_180734,nil,,0.942115768463074
code_dev,b_180734,ta,dd;nl,0.029940119760479
code_dev,b_180734,at,dd;pl,0.0159680638722555
code_dev,b_180734,tt,,0.0119760479041916
code_dev,b_180735,nil,,0.972055888223553
code_dev,b_180735,ta,dd;nl,0.0199600798403194
code_dev,b_180735,at,dd;pl,0.00598802395209581
code_dev,b_180735,tt,,0.00199600798403194
code_dev,b_180737,nil,,0.976047904191617
code_dev,b_180737,ta,dd;nl,0.00998003992015968
code_dev,b_180737,at,dd;pl,0.00798403193612774
code_dev,b_180737,tt,,0.00598802395209581
code_dev,b_180739,nil,,0.934131736526946
code_dev,b_180739,ta,dd;nl,0.0419161676646707
code_dev,b_180739,tt,,0.0119760479041916
code_dev,b_180739,at,dd;pl,0.0119760479041916
code_dev,b_191547,nil,,0.980039920159681
code_dev,b_191547,ta,dd;nl,0.0179640718562874
code_dev,b_191547,tt,,0.00199600798403194
code_dev,churn,nil,,0.622754491017964
code_dev,churn,ta,pd;pl,0.193612774451098
code_dev,churn,at,pd;nl,0.183632734530938
code_dev,b_201967,nil,,0.956087824351297
code_dev,b_201967,ta,dd;nl,0.029940119760479
code_dev,b_201967,tt,,0.00998003992015968
code_dev,b_201967,at,dd;pl,0.00399201596806387
code_dev,b_191549,nil,,0.970059880239521
code_dev,b_191549,ta,dd;nl,0.0199600798403194
code_dev,b_191549,tt,,0.00798403193612774
code_dev,b_191549,at,dd;pl,0.00199600798403194
file,thread,nil,,0.652694610778443
file,thread,at,pd;nl,0.203592814371258
file,thread,ta,pd;nl,0.143712574850299
file,nv-b_100740,nil,,0.998003992015968
file,nv-b_100740,ta,pd;nl,0.00199600798403194
file,nv-b_102939,nil,,0.996007984031936
file,nv-b_102939,ta,dd;nl,0.00399201596806387
file,nv-b_103864,nil,,0.994011976047904
file,nv-b_103864,ta,dd;nl,0.00598802395209581
file,nv-b_104180,nil,,0.998003992015968
file,nv-b_104180,ta,dd;nl,0.00199600798403194
file,nv-churn2,nil,,0.996007984031936
file,nv-churn2,ta,dd;nl,0.00399201596806387
file,nv-code_dev2,nil,,0.996007984031936
file,nv-code_dev2,ta,dd;nl,0.00399201596806387
file,nv-commit2,nil,,0.996007984031936
file,nv-commit2,ta,dd;nl,0.00399201596806387
file,nv-mail_dev,nil,,0.994011976047904
file,nv-mail_dev,ta,dd;nl,0.00598802395209581
file,nv-mis_link2,nil,,0.998003992015968
file,nv-mis_link2,ta,dd;nl,0.00199600798403194
file,nv-silence,nil,,0.998003992015968
file,nv-silence,ta,dd;nl,0.00199600798403194
file,nv-silence2,nil,,0.99001996007984
file,nv-silence2,ta,dd;nl,0.00998003992015968
file,nv-start,nil,,0.954091816367266
file,nv-start,ta,dd;nl,0.0339321357285429
file,nv-start,at,dd;pl,0.0119760479041916
file,nv-thread,nil,,0.998003992015968
file,nv-thread,ta,dd;nl,0.00199600798403194
file,nv-thread2,nil,,0.992015968063872
file,nv-thread2,ta,dd;nl,0.00798403193612774
file,silence,ta,dd;nl,1
file,silence2,ta,pd;nl,0.846307385229541
file,silence2,at,dd;nl,0.125748502994012
file,silence2,nil,,0.0279441117764471
mail_dev2,file,nil,,0.806387225548902
mail_dev2,file,at,pd;pl,0.107784431137725
mail_dev2,file,ta,pd;nl,0.0838323353293413
mail_dev2,file,tt,,0.00199600798403194
mail_dev2,file2,ta,pd;nl,0.598802395209581
mail_dev2,file2,at,dd;nl,0.205588822355289
mail_dev2,file2,nil,,0.19560878243513
mail_dev2,nv-commit2,nil,,0.974051896207585
mail_dev2,nv-commit2,ta,dd;nl,0.0219560878243513
mail_dev2,nv-commit2,tt,,0.00199600798403194
mail_dev2,nv-commit2,at,dd;pl,0.00199600798403194
mail_dev2,nv-mail_dev,nil,,0.998003992015968
mail_dev2,nv-mail_dev,ta,dd;nl,0.00199600798403194
mail_dev2,nv-mail_dev2,nil,,0.998003992015968
