node1_name,node2_name,endpoint1,endpoint2,bold,highlighted,properties,probability
nv-silence,b_114577,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
nv-silence,b_104180,TAIL,TAIL,FALSE,FALSE,"",0.0159680638722555
nv-silence,b_100742,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00199600798403194
nv-silence,b_103864,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
nv-silence,b_100740,TAIL,TAIL,FALSE,FALSE,"",0.193612774451098
nv-mis_link2,nv-file,TAIL,TAIL,FALSE,FALSE,"",0.00798403193612774
nv-mis_link2,nv-churn,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mis_link2,nv-code_dev,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link2,b_191549,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mis_link2,b_180734,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mis_link2,b_173733,TAIL,TAIL,FALSE,FALSE,"",0.00998003992015968
nv-mis_link2,b_180732,TAIL,TAIL,FALSE,FALSE,"",0.0119760479041916
nv-mis_link2,b_167053,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00798403193612774
nv-mis_link2,b_166302,TAIL,TAIL,FALSE,FALSE,"",0.0239520958083832
nv-mis_link2,b_151790,TAIL,TAIL,FALSE,FALSE,"",0.0179640718562874
nv-mis_link2,b_160799,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link2,b_151788,TAIL,TAIL,FALSE,FALSE,"",0.0159680638722555
nv-mis_link2,b_150285,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link2,b_150287,TAIL,TAIL,FALSE,FALSE,"",0.029940119760479
nv-mis_link2,b_143569,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link2,b_143509,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mis_link2,b_140224,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mis_link2,b_143507,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link2,b_140160,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
nv-mis_link2,b_122110,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
nv-mis_link2,b_113207,TAIL,TAIL,FALSE,FALSE,"",0.00798403193612774
nv-mis_link2,b_114109,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mis_link2,b_103864,TAIL,TAIL,FALSE,FALSE,"",0.0119760479041916
nv-mis_link2,b_100433,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link,b_80891,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mis_link,b_81672,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link,start,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00199600798403194
nv-mis_link,b_191547,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link,b_180735,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00598802395209581
nv-mis_link,b_166304,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link,b_173733,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mis_link,b_166302,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link,b_162179,TAIL,TAIL,FALSE,FALSE,"",0.0499001996007984
nv-mis_link,b_162106,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link,b_162108,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link,b_151794,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mis_link,b_151789,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link,b_150285,TAIL,TAIL,FALSE,FALSE,"",0.0159680638722555
nv-mis_link,b_150287,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mis_link,b_150208,TAIL,TAIL,FALSE,FALSE,"",0.00998003992015968
nv-mis_link,b_150206,TAIL,TAIL,FALSE,FALSE,"",0.00798403193612774
nv-mis_link,b_143507,TAIL,TAIL,FALSE,FALSE,"",0.00798403193612774
nv-mis_link,b_143511,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link,b_143506,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link,b_140195,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mis_link,b_114619,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
nv-mis_link,b_122333,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mis_link,b_114109,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00199600798403194
nv-mis_link,b_102939,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
nv-mail_dev2,nv-silence,TAIL,TAIL,FALSE,FALSE,"",0.111776447105788
nv-mail_dev2,nv-start,TAIL,TAIL,FALSE,FALSE,"",0.0139720558882236
nv-mail_dev2,nv-mis_link2,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mail_dev2,nv-commit2,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00199600798403194
nv-mail_dev2,b_62940,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mail_dev2,b_93245,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mail_dev2,b_180739,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mail_dev2,b_167053,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
